水位,流量
766.1,217
766.11,218
766.12,219
766.13,220
766.14,221
766.15,222
766.16,222
766.17,223
766.18,224
766.19,225
766.2,226
766.21,227
766.22,228
766.23,229
766.24,230
766.25,231
766.26,232
766.27,233
766.28,234
766.29,235
766.3,236
766.31,237
766.32,239
766.33,240
766.34,242
766.35,243
766.36,244
766.37,246
766.38,247
766.39,249
766.4,250
766.41,252
766.42,254
766.43,255
766.44,257
766.45,259
766.46,261
766.47,263
766.48,264
766.49,266
766.5,268
766.51,270
766.52,273
766.53,275
766.54,278
766.55,280
766.56,282
766.57,285
766.58,287
766.59,290
766.6,292
766.61,295
766.62,297
766.63,300
766.64,302
766.65,305
766.66,308
766.67,310
766.68,313
766.69,315
766.7,318
766.71,321
766.72,324
766.73,327
766.74,330
766.75,333
766.76,336
766.77,339
766.78,342
766.79,345
766.8,348
766.81,351
766.82,354
766.83,357
766.84,360
766.85,363
766.86,366
766.87,369
766.88,372
766.89,375
766.9,378
766.91,381
766.92,385
766.93,388
766.94,392
766.95,395
766.96,398
766.97,402
766.98,405
766.99,409
767,412
767.01,416
767.02,419
767.03,423
767.04,426
767.05,430
767.06,434
767.07,437
767.08,441
767.09,444
767.1,448
767.11,452
767.12,455
767.13,459
767.14,463
767.15,466
767.16,470
767.17,474
767.18,478
767.19,481
767.2,485
767.21,489
767.22,493
767.23,497
767.24,501
767.25,504
767.26,508
767.27,512
767.28,516
767.29,520
767.3,524
767.31,528
767.32,532
767.33,536
767.34,540
767.35,544
767.36,548
767.37,552
767.38,556
767.39,560
767.4,564
767.41,568
767.42,572
767.43,576
767.44,580
767.45,584
767.46,589
767.47,593
767.48,597
767.49,601
767.5,605
767.51,609
767.52,614
767.53,618
767.54,622
767.55,626
767.56,631
767.57,635
767.58,639
767.59,644
767.6,648
767.61,652
767.62,657
767.63,661
767.64,666
767.65,670
767.66,674
767.67,679
767.68,683
767.69,688
767.7,692
767.71,696
