"水位              ","流量              "
766.109985351563,212.9364
766.115475341797,213.7059
766.120965332031,214.4784
766.126455322266,215.2538
766.1319453125,216.0323
766.137435302734,216.8137
766.142925292969,217.5982
766.148415283203,218.3857
766.153905273438,219.1762
766.159395263672,219.9698
766.164885253906,220.7576
766.170375244141,221.5573
766.175865234375,222.3601
766.181355224609,223.1659
766.186845214844,223.9749
766.192335205078,224.7871
766.197825195312,225.6023
766.203315185547,226.4207
766.208805175781,227.2423
766.214295166016,228.067
766.21978515625,228.895
766.225275146484,229.7261
766.230765136719,230.5605
766.236255126953,231.3981
766.241745117188,232.2389
766.247235107422,233.083
766.252725097656,233.9304
766.258215087891,234.7811
766.263705078125,235.635
766.269195068359,236.4828
766.274685058594,237.3434
766.280175048828,238.2073
766.285665039062,239.0746
766.291155029297,239.9452
766.296645019531,240.8193
766.302135009766,241.6967
766.307625,242.5776
766.313114990234,243.4619
766.318604980469,244.3496
766.324094970703,245.2408
766.329584960938,246.1355
766.335074951172,247.0336
766.340564941406,247.9353
766.346054931641,248.8405
766.351544921875,249.7492
766.357034912109,250.6615
766.362524902344,251.5773
766.368014892578,252.4968
766.373504882813,253.4198
766.378994873047,254.3362
766.384484863281,255.2664
766.389974853516,256.2003
766.39546484375,257.1378
766.400954833984,258.0791
766.406444824219,259.024
766.411934814453,259.9727
766.417424804687,260.925
766.422914794922,261.8812
766.428404785156,262.8411
766.433894775391,263.8047
766.439384765625,264.7722
766.444874755859,265.7435
766.450364746094,266.7186
766.455854736328,267.6976
766.461344726563,268.6804
766.466834716797,269.6671
766.472324707031,270.6578
766.477814697266,271.6523
766.4833046875,272.6397
766.488794677734,273.6421
766.494284667969,274.6485
766.499774658203,275.6588
766.505264648437,276.6732
766.510754638672,277.6916
766.516244628906,278.7141
766.521734619141,279.7406
766.527224609375,280.7712
766.532714599609,281.8059
766.538204589844,282.8448
766.543694580078,283.8878
766.549184570312,284.9349
766.554674560547,285.9863
766.560164550781,287.0418
766.565654541016,288.1016
766.57114453125,289.1656
766.576634521484,290.2339
766.582124511719,291.3064
766.587614501953,292.3713
766.593104492188,293.4524
766.598594482422,294.5379
766.604084472656,295.6277
766.609574462891,296.722
